Date,Users,Sessions,PageViews
20210101,492,551,1760
20210102,649,708,2324
20210103,630,700,2400
20210104,636,716,2613
20210105,607,694,2811
20210106,699,805,3063
20210107,738,837,3015
20210108,609,703,2996
20210109,635,696,2693
20210110,641,704,2565
20210111,778,879,3003
20210112,724,807,2590
20210113,725,806,2696
20210114,751,857,2933
20210115,736,823,2654
20210116,791,922,3301
20210117,739,817,2583
20210118,734,838,2812
20210119,684,779,2603
20210120,704,787,2699
20210121,863,980,3536
20210122,763,860,2742
20210123,751,823,2780
20210124,744,832,2788
20210125,702,793,2515
20210126,719,815,3056
20210127,637,707,2575
20210128,692,792,2461
20210129,619,694,2627
20210130,723,832,2703
20210131,723,813,2622
20210201,1739,2372,4297
20210202,1186,1342,2981
20210203,760,856,2847
20210204,797,890,3133
20210205,683,779,2620
20210206,598,686,2607
20210207,653,727,2539
20210208,617,690,2428
20210209,655,754,2490
20210210,773,844,2631
20210211,626,715,2821
20210212,607,700,2533
20210213,590,652,2000
20210214,577,643,2253
20210215,657,745,2665
20210216,626,724,2728
20210217,973,1097,3348
20210218,840,952,2764
20210219,679,781,2852
20210220,635,713,2214
20210221,677,752,2366
20210222,663,763,2402
20210223,632,697,2375
20210224,719,800,2482
20210225,774,872,2670
20210226,636,710,2359
20210227,504,563,2009
20210228,933,1023,2823
20210301,612,695,2323
20210302,612,691,2124
20210303,615,711,2417
20210304,574,662,2134
20210305,597,702,2443
20210306,596,675,2250
20210307,596,674,2232
20210308,613,685,2352
20210309,560,624,2142
20210310,596,693,2360
20210311,622,697,2251
20210312,579,685,1934
20210313,576,643,2105
20210314,574,632,1945
20210315,633,716,2251
20210316,630,700,2252
20210317,686,791,2359
20210318,759,839,2628
20210319,509,576,1893
20210320,628,688,2094
20210321,550,619,1949
20210322,640,732,2453
20210323,642,727,2243
20210324,619,698,2442
20210325,557,645,2182
20210326,665,746,2298
20210327,645,694,1884
20210328,703,771,2358
20210329,632,704,2086
20210330,632,697,2281
20210331,681,740,2067
20210401,850,937,2607
20210402,873,961,2856
20210403,740,804,2026
20210404,691,748,2056
20210405,798,860,2443
20210406,870,953,2751
20210407,857,949,2822
20210408,860,959,2735
20210409,743,816,2197
20210410,667,728,2033
20210411,726,792,2348
20210412,782,880,2794
20210413,1349,1503,3443
20210414,1464,1612,3418
